1,1107,1,2000,1.7905e+07,-0.13871,-3.6177,-0.60224,-0.036436,-0.089638,-0.11524,0.11243,0.31699
1,1201,2,2013,3.8018e+07,0.033713,-2.7299,-0.12903,0.12186,0.08278,0.035452,1.001,0.76807
1,1203,2,2001,7.2366e+06,-0.073225,-3.6279,-0.4988,-0.088714,-0.024157,-0.011928,0.10319,0.42159
1,1204,2,2004,7.2107e+05,-0.14982,-3.1952,0.43355,0.10075,-0.10075,-0.060556,0.53987,1.3411
1,1206,2,1998,3.0769e+07,-0.033839,-2.5643,-0.62903,0.071673,0.015228,0.069398,1.1639,0.26803
1,1207,2,2002,3.3126e+07,-0.14157,-3.5408,-0.63626,-0.12808,-0.092506,-0.018307,0.18991,0.28672
1,1209,2,1999,8.071e+06,-0.29463,-3.3752,-0.33667,-0.25527,-0.24556,-0.17253,0.35942,0.60373
1,1221,2,2001,4.7111e+06,0.03826,-2.0702,0.43089,0.13398,0.087327,0.10781,1.6639,1.3232
1,1225,2,1999,3.4782e+06,-0.19887,-3.1741,0.33958,-0.024308,-0.1498,0.024525,0.56153,1.2543
1,1228,2,1997,2.5219e+06,-0.15207,0.29347,-0.40222,0.085138,-0.10301,-0.22388,4.024,0.49059
1,1230,2,1997,1.4659e+06,0.0068997,0.53925,0.098114,0.60617,0.055967,-0.077301,4.2666,0.94085
1,1306,3,2000,1.8393e+06,-0.0068319,-2.679,-0.045602,-0.0045447,0.042236,0.07167,1.0539,0.86126
1,1310,3,2013,1.1307e+07,0.035052,-1.4592,0.90349,0.082146,0.084119,0.090872,2.2787,1.7998
1,1314,3,1999,5.3211e+07,-0.032601,-3.1034,-0.69378,-0.098266,0.016466,0.0037912,0.62651,0.22317
1,1316,14,2003,1.2989e+06,-0.6784,-2.2124,-0.42949,-0.11433,-0.62933,0.011344,1.5194,0.48502
1,1407,4,2000,6.9526e+07,-0.12334,-3.6451,-0.49875,-0.22937,-0.074277,-0.029129,0.087646,0.43465
1,1408,4,2000,2.4529e+07,-0.12987,-3.6619,-0.51774,-0.12833,-0.080807,-0.040305,0.069652,0.40728
1,1425,4,1995,1.3082e+06,-0.22413,-3.1385,0.014755,-0.092967,-0.17507,0.038825,0.59576,0.93329
1,1431,4,1998,1.7965e+07,-0.12238,-3.4547,-0.80368,0.19954,-0.073311,-0.05993,0.27125,0.091087
1,1432,18,2004,4.353e+06,-0.36068,-3.3917,-0.59364,-0.15414,-0.31162,-0.0088679,0.33955,0.33065
